url,fuel_type,horsepower,MPG,seats,curb_weight,length,width,height,wheel_base,drivetrain,body_type
https://www.carvana.com/vehicle/3391420?refSource=srp,Gas,295,18,5,4625,189.8,84.8,69.3,114.7,4WD,suv
https://www.carvana.com/vehicle/3466618?refSource=srp,Gas,185,19,7,4211,189,74.4,66.3,109.4,FWD,suv
https://www.carvana.com/vehicle/3410191?refSource=srp,Gas,182,21,5,3764,187.8,72.5,66.3,112.5,FWD,suv
https://www.carvana.com/vehicle/3492459?refSource=srp,Gas,270,19,8,4310,191.1,75.8,68.1,109.8,FWD,suv
https://www.carvana.com/vehicle/3462401?refSource=srp,Gas,290,18,7,4026,193.1,74.2,66.9,110.2,FWD,suv
https://www.carvana.com/vehicle/3382860?refSource=srp,Gas,184,15,5,3953,182,73.2,66.2,106.3,4WD,suv
https://www.carvana.com/vehicle/3464272?refSource=srp,Gas,235,20,5,4085,187.8,74.4,67.1,108.9,FWD,suv
https://www.carvana.com/vehicle/3450402?refSource=srp,Gas,173,22,5,3502,178.1,81.8,66.3,105.9,FWD,suv
https://www.carvana.com/vehicle/3436445?refSource=srp,Gas,176,22,5,3610,179.9,72.6,67.1,104.7,AWD,suv
https://www.carvana.com/vehicle/3423592?refSource=srp,Gas,179,22,5,3526,178.1,81.8,66.3,105.9,FWD,suv
https://www.carvana.com/vehicle/3517404?refSource=srp,Gas,185,25,5,3479,179.4,71.6,65.1,103.1,AWD,suv
https://www.carvana.com/vehicle/3468581?refSource=srp,Gas,400,17,7,5443,210,93.4,76.6,122.5,RWD,suv
https://www.carvana.com/vehicle/3491558?refSource=srp,Gas,270,18,8,4244,191.1,75.8,68.1,109.8,FWD,suv
https://www.carvana.com/vehicle/3510285?refSource=srp,Flexible Fuel,280,17,7,4457,198.3,78.9,70,112.6,FWD,suv
https://www.carvana.com/vehicle/3473813?refSource=srp,Gas,175,24,5,3686,176.2,72.8,65,105.1,AWD,suv
https://www.carvana.com/vehicle/3490622?refSource=srp,Gas,240,18,5,4875,189.8,84.8,69.3,114.8,4WD,suv
https://www.carvana.com/vehicle/3519440?refSource=srp,Gas,176,22,5,3570,181.1,72.6,67.1,104.7,AWD,suv
https://www.carvana.com/vehicle/3466132?refSource=srp,Gas,280,17,7,4443,198.7,90.2,70,112.6,FWD,suv
https://www.carvana.com/vehicle/3363700?refSource=srp,Gas,295,19,7,4430,192.5,75.8,68.1,109.8,AWD,suv
https://www.carvana.com/vehicle/3517193?refSource=srp,Gas,355,15,7,5661,210.7,81,75.9,120.9,4WD,suv
https://www.carvana.com/vehicle/3501940?refSource=srp,Gas,185,26,5,3552,179.4,71.6,65.1,103.1,AWD,suv
https://www.carvana.com/vehicle/3377354?refSource=srp,Gas,185,26,5,3552,179.4,71.6,65.1,103.1,AWD,suv
https://www.carvana.com/vehicle/3505713?refSource=srp,Gas,170,26,5,3325,183.1,72.6,65.4,107.3,FWD,suv
https://www.carvana.com/vehicle/3458258?refSource=srp,Gas,175,23,5,3470,191.7,83.5,58.1,112.2,FWD,sedan
https://www.carvana.com/vehicle/3493962?refSource=srp,Gas,139,30,5,2955,182.3,70.1,56.5,106.3,FWD,sedan
https://www.carvana.com/vehicle/3381345?refSource=srp,Gas,185,26,5,3247,191.1,73.4,58.1,110.4,FWD,sedan
https://www.carvana.com/vehicle/3465768?refSource=srp,Gas,163,27,5,3159,194.2,73,57.3,111.4,FWD,sedan
https://www.carvana.com/vehicle/3458242?refSource=srp,Gas,163,27,5,3159,194.2,73,57.3,111.4,FWD,sedan
